Probe_Set_ID;Transcript_ID;Gene_Title;Gene_Symbol;SOM_cluster;Expression_pattern;Develoment_relation
91580_at;4871970;leucine-rich repeats and transmembrane domains 1;LRTM1;c0;;
66053_at;4789783_RC;heterogeneous nuclear ribonucleoprotein U-like 2;HNRPUL2;c0;;
244783_at;Hs.136943.0;YY1 associated factor 2;YAF2;c0;;
244656_at;Hs.24986.1;RAS-like, family 10, member B;RASL10B;c0;;
244636_at;Hs.209222.0;Transcribed locus;---;c0;;
244614_at;Hs.209245.0;TRK-fused gene;TFG;c0;;
244604_at;Hs.216717.0;---;---;c0;;
244592_at;Hs.208603.0;---;---;c0;;
244512_at;Hs.171806.0;Transcribed locus, weakly similar to NP_006726.1;---;c0;;
;; A2 [Homo sapiens];;;;
244505_at;Hs.311625.0;Transcribed locus, strongly similar to XP_001076038.1     ;---;c0;;
;;similar to Amidophosphoribosyltransferase precursor;;;;
;;(Glutamine phosphoribosylpyrophosphate;;;;
;;amidotransferase) (ATASE) (GPAT);;;;
;;[Rattus norvegicus];;;;
244393_x_at;Hs.191618.0;Transcribed locus;---;c0;;
244388_at;Hs.255301.0;Transcribed locus;---;c0;;
244378_at;Hs.154966.0;Chromosome 12 open reading frame 51;C12orf51;c0;;
244350_at;Hs.143764.0;---;---;c0;;
244322_at;Hs.158794.0;hypothetical protein LOC641798 /// ;LOC641798 /// ;c0;;
;;hypothetical LOC646329;LOC646329;;;
244293_at;Hs.134946.0;Transcribed locus;---;c0;;
244254_at;Hs.244339.0;Transcribed locus;---;c0;;
244128_x_at;Hs.46794.0;GLIS family zinc finger 1;GLIS1;c0;;
244040_at;Hs.212631.0;CDNA clone IMAGE:4796595;---;c0;;
244031_at;Hs.271378.0;---;---;c0;;
244001_at;Hs.121817.0;nucleosome assembly protein 1-like 4;NAP1L4;c0;;D
243953_at;Hs.100848.0;fatty acid desaturase 2;FADS2;c0;;
243929_at;Hs.21948.0;---;---;c0;;
243928_s_at;Hs.137263.0;ATP-binding cassette, sub-family C (CFTR/MRP), ;ABCC4;c0;;
;;member 4;;;;
243920_x_at;Hs.244283.0;"MRNA; cDNA DKFZp686I19109 (from clone ";---;c0;;
;;DKFZp686I19109);;;;
243819_at;Hs.187772.0;---;---;c0;;
243811_at;Hs.86937.0;Transcribed locus;---;c0;;
243804_at;Hs.259706.0;myotubularin related protein 7;MTMR7;c0;;
243765_at;Hs.176220.0;Transcribed locus;---;c0;;
